batak_term,indonesian_translation
toba,danau toba
samosir,pulau samosir
parapat,kota parapat
balige,kota balige
lumban,desa
bulbul,pantai bulbul
ulos,kain tradisional
sigale-gale,boneka kayu
huta,kampung
horas,salam
bah,seruan
sopo,rumah adat
dolok,bukit
buhit,bukit
bakkara,lembah
bakara,lembah bakkara
tongging,desa tongging
silalahi,marga silalahi
marga,marga
br,boru
hula-hula,mertua
lapo,kedai
toruan,bagian bawah
julu,bagian atas
tarutung,kota tarutung
sibolga,kota sibolga
songon,seperti
tahe,sungguh
dongan,teman
martarombo,bersilsilah
dalihan na tolu,falsafah batak
