slang_word,standard_indonesian
yg,yang
gak,tidak
nggak,tidak
tdk,tidak
sdh,sudah
udh,sudah
bgt,sangat
banget,sangat
dlm,dalam
org,orang
tp,tapi
jg,juga
klo,kalau
klu,kalau
bsa,bisa
bgtu,begitu
bkn,bukan
kmrn,kemarin
trs,terus
bener,benar
krn,karena
pd,pada
sm,sama
utk,untuk
dr,dari
dgn,dengan
spt,seperti
bbrp,beberapa
mbl,mobil
mrka,mereka
byk,banyak
hbs,habis
lbh,lebih
blm,belum
skrg,sekarang
sih,partikel penegas
loh,partikel penegas
rekomended,direkomendasikan
recommended,direkomendasikan
worth it,sepadan / bernilai
view,pemandangan
spot,titik / lokasi
best,terbaik
nice,bagus / indah
amazing,luar biasa
refreshing,menyegarkan
mantap,hebat / bagus sekali
keren,bagus sekali / menarik
adem,sejuk / nyaman
bikin,membuat
kesini,ke sini
disini,di sini
pdhl,padahal
sempet,sempat
rame,ramai
cuman,hanya
cuma,hanya
gampang,mudah
beneran,sungguh-sungguh / benar
pas,tepat / cocok
seru,menyenangkan
gokil,keren sekali
pisan,sekali
